QuestionID,SensorType,QuestionTag,QuestionColumnName,NotNormalAnswer
QID1,PurpleAir,PATQuestion1,Site Check,
QID59,PurpleAir,PATQuestion2,Tracking Notes,
QID15,PurpleAir,PAHQuestion1,Wi-Fi,
QID16,PurpleAir,PAHQuestion2,Confidence,
QID18,PurpleAir,PAHQuestion3,PM Trend Graph,
QID19,PurpleAir,PAHQuestion4,Temp. Graph,
QID20,PurpleAir,PAHQuestion5,Humidity Graph,
QID60,PurpleAir,PAHQuestion6,Health Notes,
QID23,PurpleAir,PADQuestion1,Data Files,
QID24,PurpleAir,PADQuestion2,Data Headers,
QID72,PurpleAir,PADQuestion3,Data Integrity,
QID25,PurpleAir,PADQuestion4,Data Completeness,
QID61,PurpleAir,PADQuestion5,Data Notes,
QID30,Clarity,CTQuestion1,Site Check,
QID55,Clarity,CTQuestion2,Tracking Notes,
QID35,Clarity,CHQuestion1,Overall Status,
QID38,Clarity,CHQuestion2,Signal Strength,
QID39,Clarity,CHQuestion3,Internal Battery Charge,
QID43,Clarity,CHQuestion4,PM Trend Graph,
QID71,Clarity,CHQuestion5,NO2 Trend Graph,
QID44,Clarity,CHQuestion6,Temp. Graph,
QID45,Clarity,CHQuestion7,Humidity Graph,
QID63,Clarity,CHQuestion8,Health Notes,
QID49,Clarity,CDQuestion1,Data Files,
QID51,Clarity,CDQuestion2,Data Headers,
QID73,Clarity,CDQuestion3,Data Integrity,
QID54,Clarity,CDQuestion4,Data Completeness,
QID64,Clarity,CDQuestion5,Data Notes,
